k,alpha,avg_steps,success_rate
3,0.0,566.4,1.0
3,0.2,446.0,1.0
3,0.4,757.4,1.0
3,0.6000000000000001,783.5,1.0
3,0.8,592.8,1.0
3,1.0,883.7,1.0
4,0.0,786.4,1.0
4,0.2,495.9,1.0
4,0.4,570.2,1.0
4,0.6000000000000001,673.3,1.0
4,0.8,856.7,1.0
4,1.0,667.7,1.0
5,0.0,677.3,1.0
5,0.2,421.1,1.0
5,0.4,805.1,1.0
5,0.6000000000000001,661.7,1.0
5,0.8,789.3,1.0
5,1.0,752.6,1.0
6,0.0,728.4,1.0
6,0.2,600.5,1.0
6,0.4,636.0,1.0
6,0.6000000000000001,583.8,1.0
6,0.8,591.6,1.0
6,1.0,839.8,1.0
