k,alpha,avg_steps,success_rate
5,0.10827586206896551,86.1,1.0
5,0.11482758620689655,87.1,0.8
5,0.12137931034482759,100.9,1.0
5,0.12793103448275864,130.7,0.8
5,0.13448275862068967,101.6,1.0
5,0.1410344827586207,109.4,0.9
5,0.14758620689655175,110.4,0.9
5,0.15413793103448278,112.3,0.9
5,0.16068965517241382,86.2,0.8
5,0.16724137931034483,105.3,1.0
5,0.17379310344827587,111.1,0.8
5,0.1803448275862069,103.8,0.8
5,0.18689655172413794,100.2,0.8
5,0.19344827586206897,100.7,0.9
5,0.2,89.9,0.8
6,0.01,125.9,0.9
6,0.016551724137931035,129.6,1.0
6,0.023103448275862068,104.5,0.8
6,0.029655172413793104,116.0,0.8
6,0.03620689655172414,98.3,0.9
6,0.04275862068965518,92.3,0.9
6,0.04931034482758621,115.5,1.0
6,0.05586206896551724,87.2,0.9
6,0.06241379310344828,88.7,0.9
6,0.06896551724137931,92.7,0.9
6,0.07551724137931035,78.8,0.7
6,0.08206896551724138,93.6,1.0
6,0.0886206896551724,93.6,0.9
6,0.09517241379310344,78.1,0.9
6,0.10172413793103448,85.4,1.0
6,0.10827586206896551,93.3,0.9
6,0.11482758620689655,91.8,1.0
6,0.12137931034482759,92.2,0.9
6,0.12793103448275864,76.0,0.9
6,0.13448275862068967,108.8,0.9
6,0.1410344827586207,69.6,0.8
6,0.14758620689655175,86.3,0.9
6,0.15413793103448278,85.8,0.8
6,0.16068965517241382,124.9,0.9
6,0.16724137931034483,83.6,0.8
6,0.17379310344827587,146.2,0.9
6,0.1803448275862069,153.8,0.8
6,0.18689655172413794,126.0,0.9
6,0.19344827586206897,91.9,0.8
6,0.2,150.2,0.9
7,0.01,140.9,1.0
7,0.016551724137931035,103.9,0.9
7,0.023103448275862068,117.6,0.9
7,0.029655172413793104,122.2,0.9
7,0.03620689655172414,101.9,1.0
7,0.04275862068965518,66.4,0.9
7,0.04931034482758621,84.8,1.0
7,0.05586206896551724,72.3,0.8
7,0.06241379310344828,82.5,1.0
7,0.06896551724137931,99.4,1.0
7,0.07551724137931035,91.3,0.9
7,0.08206896551724138,64.3,1.0
7,0.0886206896551724,62.7,0.7
7,0.09517241379310344,69.8,1.0
7,0.10172413793103448,105.1,0.9
7,0.10827586206896551,136.9,1.0
7,0.11482758620689655,113.5,0.9
7,0.12137931034482759,92.5,1.0
7,0.12793103448275864,103.5,0.9
7,0.13448275862068967,101.3,1.0
7,0.1410344827586207,127.1,0.7
7,0.14758620689655175,101.9,0.7
7,0.15413793103448278,108.9,1.0
7,0.16068965517241382,126.4,1.0
7,0.16724137931034483,123.7,1.0
7,0.17379310344827587,77.8,1.0
7,0.1803448275862069,97.7,0.9
7,0.18689655172413794,93.8,0.9
7,0.19344827586206897,68.4,0.9
7,0.2,150.9,0.9
