k,alpha,avg_steps,success_rate
3,0.01,110.1,1.0
3,0.016551724137931035,143.8,1.0
3,0.023103448275862068,91.9,1.0
3,0.029655172413793104,111.2,0.8
3,0.03620689655172414,80.4,0.9
3,0.04275862068965518,71.7,1.0
3,0.04931034482758621,85.1,1.0
3,0.05586206896551724,99.5,0.9
3,0.06241379310344828,112.7,0.9
3,0.06896551724137931,130.1,0.8
3,0.07551724137931035,86.4,1.0
3,0.08206896551724138,97.9,0.9
3,0.0886206896551724,93.0,0.8
3,0.09517241379310344,93.3,1.0
3,0.10172413793103448,67.6,0.8
3,0.10827586206896551,98.7,0.8
3,0.11482758620689655,92.2,1.0
3,0.12137931034482759,55.8,0.9
3,0.12793103448275864,87.1,1.0
3,0.13448275862068967,105.6,1.0
3,0.1410344827586207,107.3,1.0
3,0.14758620689655175,107.1,0.8
3,0.15413793103448278,91.0,0.9
3,0.16068965517241382,124.5,0.9
3,0.16724137931034483,76.8,0.9
3,0.17379310344827587,122.0,1.0
3,0.1803448275862069,99.3,0.9
3,0.18689655172413794,98.4,0.8
3,0.19344827586206897,172.8,1.0
3,0.2,130.5,0.9
4,0.01,188.7,1.0
4,0.016551724137931035,98.4,0.9
4,0.023103448275862068,106.5,0.9
4,0.029655172413793104,109.8,0.9
4,0.03620689655172414,96.8,1.0
4,0.04275862068965518,134.4,0.8
4,0.04931034482758621,91.1,1.0
4,0.05586206896551724,81.5,0.9
4,0.06241379310344828,72.0,1.0
4,0.06896551724137931,100.2,1.0
4,0.07551724137931035,132.3,1.0
4,0.08206896551724138,88.4,0.9
4,0.0886206896551724,71.8,1.0
4,0.09517241379310344,65.8,0.9
4,0.10172413793103448,64.2,1.0
4,0.10827586206896551,78.1,0.7
4,0.11482758620689655,82.5,1.0
4,0.12137931034482759,95.7,0.9
4,0.12793103448275864,80.8,0.7
4,0.13448275862068967,172.4,0.9
4,0.1410344827586207,86.1,0.7
4,0.14758620689655175,64.1,0.6
4,0.15413793103448278,194.7,0.9
4,0.16068965517241382,85.0,0.8
4,0.16724137931034483,82.7,1.0
4,0.17379310344827587,160.8,1.0
4,0.1803448275862069,64.1,0.9
4,0.18689655172413794,201.8,0.9
4,0.19344827586206897,99.1,0.9
4,0.2,141.2,0.9
5,0.01,113.3,0.6
5,0.016551724137931035,95.2,0.9
5,0.023103448275862068,104.5,0.9
5,0.029655172413793104,101.4,1.0
5,0.03620689655172414,118.0,1.0
5,0.04275862068965518,106.0,1.0
5,0.04931034482758621,118.2,1.0
5,0.05586206896551724,91.8,0.8
5,0.06241379310344828,114.2,0.9
5,0.06896551724137931,89.6,1.0
5,0.07551724137931035,89.6,0.9
5,0.08206896551724138,95.0,1.0
5,0.0886206896551724,75.4,0.9
5,0.09517241379310344,76.6,0.8
5,0.10172413793103448,87.5,0.7
